Problem: 0/1 Knapsack Optimization from CSV
You are given a list of items in a CSV format. Each item has a value and a weight. Your task is to select a subset of these items to put into a knapsack such that:

The total weight should not be exceeded.

The total value is maximized.

You cannot take fractional items, and you cannot take the same item more than once.

Please note that the total weight is *51938*, maximize the value without exceeding the total weight.

---

value,weight
283,889
636,301
253,139
9,476
15,141
726,627
903,862
545,197
124,438
72,451
956,845
8,708
896,821
191,877
972,390
193,254
883,86
239,521
272,954
831,791
423,190
740,849
641,277
493,48
294,806
932,777
605,339
445,129
687,39
406,960
554,667
645,293
569,317
132,910
201,221
786,106
78,901
932,798
252,141
241,344
209,48
683,867
271,823
600,183
32,352
624,692
714,507
754,803
162,288
167,17
156,120
912,689
800,670
314,949
841,290
223,985
616,394
113,652
629,813
760,115
141,790
371,988
143,145
531,852
912,357
586,701
862,326
619,576
994,349
315,467
846,487
460,759
30,295
971,328
828,513
927,642
107,988
210,516
365,570
653,460
912,927
851,503
995,652
583,91
982,799
930,763
839,617
716,949
409,491
76,700
967,782
363,446
743,462
266,449
641,505
292,582
838,274
29,354
886,805
738,61

---

Please maximize the value and give me the answer.
