value,weight
385,980
901,261
923,191
963,28
220,961
496,58
916,546
10,452
41,762
305,963
194,384
170,636
6,833
553,941
810,537
571,797
561,242
577,201
461,942
696,719
220,242
678,408
815,193
471,295
140,441
253,313
67,591
974,880
869,266
543,736
520,270
567,548
55,584
566,134
150,721
500,290
36,785
166,277
849,585
922,687
503,500
956,394
868,11
762,214
797,100
786,723
119,654
35,602
311,916
344,201
290,675
97,257
598,506
980,181
535,989
905,904
5,942
123,747
491,121
218,971
915,161
405,523
740,348
508,243
565,536
372,533
500,489
12,823
431,985
796,538
780,642
782,438
948,683
900,744
601,588
929,465
697,279
804,372
355,565
422,923
902,946
397,510
656,135
329,754
748,146
691,50
989,700
86,85
191,487
397,692
237,129
276,605
588,665
427,688
87,701
837,6
348,966
775,825
707,633
515,589
855,330
372,809
629,535
588,697
426,70
682,971
353,748
519,811
601,323
31,198
12,631
37,936
468,270
774,898
953,698
288,603
998,724
188,42
481,550
70,621
616,588
13,825
529,888
966,535
258,954
67,39
199,384
737,44
882,703
375,748
389,214
834,466
563,667
917,593
164,861
942,695
743,406
964,483
874,858
636,445
357,528
691,897
476,292
822,656
987,486
37,923
628,707
726,284
203,21
525,555
123,386
681,497
674,726
122,877
543,462
359,209
828,659
884,304
494,870
448,70
361,606
276,419
177,115
600,758
435,278
864,947
2,791
819,288
325,322
684,210
53,367
601,998
309,45
729,550
930,547
99,195
450,459
433,178
129,275
59,260
910,216
40,181
236,857
336,617
132,125
164,142
264,275
847,130
274,252
622,354
51,159
698,651
264,321
599,513
599,758
868,426
239,248
571,814
461,347
259,14
