[METADATA]
Name: d15112
Dimension: 15112

[TSP_DATA_INFO]
Type: TSP, Traveling salesman problem (TSP) 
Node coordinate type: None,  
Edge weight type: EUC_2D, Euclidean distance in 2D 
Edge weight format: None,  
Display data type: None,  

[NODE_COORDINATES]
2: (5826, 1350)
3: (413, 10751)
4: (8419, 4442)
5: (4317, 8968)
6: (7196, 20891)
7: (9440, 14145)
8: (10744, 13211)
9: (10215, 5722)
10: (12079, 4397)
11: (2279, 7154)
12: (14035, 12069)
13: (10052, 5416)
14: (6807, 5198)
15: (11615, 11533)
16: (9730, 12076)
17: (8245, 4619)
18: (5738, 6660)
19: (9010, 7394)
20: (3437, 7417)
21: (7689, 712)
22: (4225, 3856)
23: (9418, 14571)
24: (6387, 17544)
25: (14326, 4951)
26: (8098, 2651)
27: (2351, 9390)
28: (2281, 7086)
29: (8184, 21654)
30: (6523, 23145)
31: (11052, 15120)
32: (12745, 18967)
33: (7398, 4252)
34: (7762, 13084)
35: (8331, 16172)
36: (8242, 4799)
37: (10780, 4473)
38: (10068, 7229)
39: (6963, 6247)
40: (10589, 2392)
41: (9729, 3166)
42: (10629, 2958)
43: (2045, 9456)
44: (3408, 7154)
45: (9095, 15592)
46: (9074, 18430)
47: (8114, 14387)
48: (10171, 14500)
49: (12940, 3586)
50: (11904, 21053)
51: (12775, 9211)
52: (14017, 10557)
53: (6931, 20563)
54: (6797, 14518)
55: (13784, 10255)
56: (6841, 4757)
57: (10306, 3301)
58: (6048, 16797)
59: (433, 8332)
60: (12389, 11185)
61: (7348, 19276)
62: (7180, 20712)
63: (6123, 6097)
64: (13393, 3528)
65: (2401, 14736)
66: (6924, 17692)
67: (16090, 19856)
68: (16042, 20711)
69: (7380, 16763)
70: (7670, 21933)
71: (4097, 13712)
72: (12179, 11258)
73: (7194, 18798)
74: (11118, 13021)
75: (9599, 9802)
76: (10172, 16594)
77: (7095, 12403)
78: (7774, 22885)
79: (8770, 16294)
80: (6489, 15202)
81: (13367, 4841)
82: (14296, 4201)
83: (7285, 6542)
84: (10130, 8906)
85: (11119, 7623)
86: (2163, 9776)
87: (9298, 20712)
88: (8668, 19651)
89: (16149, 15177)
90: (14436, 15509)
91: (15136, 16369)
92: (13052, 21452)
93: (6524, 22392)
94: (12706, 21923)
95: (6808, 22324)
96: (6961, 22313)
97: (15124, 4032)
98: (10609, 3276)
99: (7342, 3852)
100: (9382, 2518)
101: (4947, 2696)
102: (8404, 1508)
103: (6631, 3859)
104: (6925, 4207)
105: (14686, 3690)
106: (9126, 8625)
107: (5915, 3960)
108: (11801, 4032)
109: (4116, 10073)
110: (10212, 3462)
111: (14454, 1288)
112: (9206, 3435)
113: (13659, 4550)
114: (3722, 1287)
115: (8420, 1659)
116: (9356, 1269)
117: (13952, 11559)
