[METADATA]
Name: brd14051
Dimension: 14051

[TSP_DATA_INFO]
Type: TSP, Traveling salesman problem (TSP) 
Node coordinate type: None,  
Edge weight type: EUC_2D, Euclidean distance in 2D 
Edge weight format: None,  
Display data type: None,  

[NODE_COORDINATES]
2: (2918, 6528)
3: (2925, 6597)
4: (2926, 6609)
5: (2927, 6312)
6: (2930, 6328)
7: (2934, 6545)
8: (2938, 7412)
9: (2941, 6456)
10: (2945, 6284)
11: (2947, 6663)
12: (2948, 5475)
13: (2948, 6513)
14: (2948, 7456)
15: (2950, 6350)
16: (2950, 6480)
17: (2951, 7293)
18: (2957, 5422)
19: (2958, 5501)
20: (2959, 6385)
21: (2962, 5437)
22: (2962, 5460)
23: (2963, 6476)
24: (2964, 5409)
25: (2965, 6450)
26: (2965, 6602)
27: (2968, 7322)
28: (2969, 6212)
29: (2972, 6406)
30: (2973, 5380)
31: (2973, 6671)
32: (2974, 5563)
33: (2977, 6493)
34: (2980, 5573)
35: (2981, 6576)
36: (2982, 6333)
37: (2983, 7487)
38: (2984, 5422)
39: (2984, 5510)
40: (2985, 5495)
41: (2987, 5393)
42: (2987, 5438)
43: (2987, 6551)
44: (2990, 5555)
45: (2991, 5583)
46: (2992, 5411)
47: (2995, 7425)
48: (2997, 5380)
49: (2999, 5545)
50: (3001, 5426)
51: (3001, 6577)
52: (3002, 6598)
53: (3004, 6394)
54: (3005, 6345)
55: (3007, 5508)
56: (3007, 5528)
57: (3007, 5567)
58: (3007, 7303)
59: (3008, 5333)
60: (3009, 6209)
61: (3009, 6657)
62: (3010, 5595)
63: (3010, 6230)
64: (3010, 6643)
65: (3011, 5420)
66: (3012, 5571)
67: (3012, 5655)
68: (3013, 5491)
69: (3013, 5556)
70: (3014, 5308)
71: (3014, 6478)
72: (3015, 5443)
73: (3016, 5399)
74: (3018, 5618)
75: (3018, 6382)
76: (3019, 5479)
77: (3019, 7435)
78: (3020, 6429)
79: (3021, 6137)
80: (3024, 6768)
81: (3025, 6547)
82: (3026, 5495)
83: (3026, 5589)
84: (3026, 6604)
85: (3026, 7407)
86: (3026, 7421)
87: (3027, 5413)
88: (3029, 5998)
89: (3029, 6048)
90: (3030, 5295)
91: (3032, 5433)
92: (3033, 6180)
93: (3033, 6639)
94: (3034, 5333)
95: (3035, 6801)
96: (3036, 5461)
97: (3036, 6232)
98: (3036, 6669)
99: (3037, 5394)
100: (3037, 5444)
101: (3038, 7183)
102: (3038, 7291)
103: (3040, 5365)
104: (3041, 5481)
105: (3041, 5663)
106: (3041, 5675)
107: (3042, 7212)
108: (3043, 5573)
109: (3044, 5409)
110: (3045, 6035)
111: (3045, 6846)
112: (3046, 6527)
113: (3046, 7502)
114: (3048, 5699)
115: (3048, 6270)
116: (3048, 6488)
117: (3048, 6886)
